rating,label,Romanized Review
5,1,product Ramro xw
4,0,"Yo earbuds le noise cancellation vaneko jastai garxa! Sound quality ekdam crisp xa, bass ni Ramro cha. Tara kaile kai ek taraf ko earbud connect huna samaya lanchha, yeti bahek sabai thik cha."
5,1,steel jhos ko jasto kam nagarni rahicha. 1/2 time garni bitikai borako maskauni niskito rahicha.
4,1,"Nice quality, 6 dekhi 60 kg samma raixa babal xa Lida hunxa"
4,0,"Size perfect fit bhayo ani comfort pani top class! Walking ko lagi ekdam ramailo xa, dherai halka pani xa. Tara 2-3 hapta ma color halka fade jastai dekhiyo, tyasle dherai farak pardaina."
3,1,Khana dukhau xa 450 barbad koi lai chaienxa new Baneshwor vitra ma ho vanya laga 100 rs ma kirangrg67 insta ho
1,1,charging  speed ekdam slow raixa socheko vanda...Review herera leko 20 watt kai fast charge hunthiyo yo vanda...I am not satisfied!
5,0,"maile yo kinnuko kAraNa yahI utpadan ho. dui ThUlA kachaurAharU sahI AkArakA chan. mAthillo kachaurA sabaibhanda Thosa cha ra sabaibhanda Thosa cha. arko kachaurA ali sAno cha ra yedi maile yasalAI prayoga gare bhane ali kaDA hunecha. kachaurAko banAvaTa dherai narama ra narama cha. kachaurAharU ramro sanga banAiek chan ra dherai Ramro sTri~Na eTyAchamenTako sAtha Au.Nchan. ma yasalAI kunai pani kukura mAlikalAI atyadhika siphArisa garchu! mero khAnekurA dherai chanauTa garne khAlako cha. maile anya khAnAharU prayas gareko chu, tara yo sabaibhanda Ramro ho."
5,0,sajilo setup bhaekomA dherai Ramro lagyo. maile pani yo kehi ghaNTAdekhi prayoga gariraheko chu.
5,0,"maile yo kitab bhete ra yo turuntai lokapriya bhayo. masanga kathako sAno TukrA (lagabhaga 8) thiyo ra yasalAI DhAkna malai thorai plAsTika chahiyo. maile yasamA alikati raMga prayoga gare ra yo jati sakdo sahaja thiyo. ma yasalAI bhittAmA phiTa garna sakShama bhae.N. yo maile apekchya gareko bhanda ali bhArI cha tara yo ramro sanga Tikcha. mero eutai nakaratmak pakSha bhaneko bhittAmA phiTa garna maile yasalAI kATnupar{}yo, tyasaile yasalAI DhAkna malai plAsTikako arko TukrA chahincha. ma ahilesamma yasasanga khusi chu. maile mero gyArejamA sili~Na phyAna ghumAuna yo prayoga gareko chu. malai thAhA chaina yo sabaibhanda Ramro ho ki hoina, tara yo ekdamai Ramro sAno battI ho. yo dherai ujyAlo cha, tyasaile malai yasamA kunai samasya bhaeko chaina. ma moshana sensarako thulo prashaMsaka hoina. malai moshana sensara mannu parcha, tara lAiTa svicha hoina. malai rimoTa mannu parcha. tara yo dherai ujyAlo chaina, tyasaile ma yasalAI kasailAI siphArisa gardina. yo ujyAlo chaina, tara moshana sensara pani dherai ujyAlo chaina. yo dherai ujyAlo chaina. yA ta, tara yo hunu Ramro ho. ma yo kasailAI siphArisa gardina. yo dherai ujyAlo pani chaina, tara yo Ramro cha"
3,1,rAmrA pAtraharU ra kathavastu.. sAhasika kArya bhanda badi romAnsa thiyo. .yasamA ali badi huna sakthyo. tara yasale pheri malai padhna bAdhya banAyo..arU jattikai romanchak thiena.
5,0,"Yo ek uchha gunastar samagri cha. matra euta samasya cha ki yo ek sano bakas ma aaucha, jun ek samasya ho"
4,0,yo kathale malai surudekhi nai mannu paryo. yo euta pUrA kitAba thiyo juna ma bArambAra paDhtheM. tyasapaChi ke bhayo bhanera jAnnako lagi maile yasalAI bArambAra paDhnu parthyo. katha ramro sanga lekhieko thiyo ra malai vyasta rAkhyo. pAtraharU ramro sanga vikasita garek thie ra kathanaka premale bharieko thiyo. malai yo kasarI mannu paryo
5,0,masanga pAireksa kehi mahina dekhi cha ra malai yo sAno manche thandachu.Nchchai mannu parcha! yo dherai sAno ra bokna sajilo cha. baksa AphaiMmA baliyo cha ra yasalAI joDna sajilo cha. yo mero AvashyakatAko lagi uttama AkAra ho ra ma utpadansanga dherai khusi chu. maile 3-TukrA plAsTika pani kineko chu.
5,0,mula lai harauna sakdina. maile yo thieTaramA here.N ra malai sanchai ramAilo lagyo.
